,2021-12-31,上交所向中炬高新下发监管工作函,Wind
0,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
1,2021-12-31,中炬高新(600872.SH)获得政府补助1191.56万元,智通财经
2,2021-12-28,中炬高新：收到监管函，就公司控股股东增持及质押事项明确监管要求 问询,Wind
3,2021-12-28,大众品需求有望改善，业绩弹性可期,证券之星
4,2021-12-28,影响2021｜调味品十大事件：酱油食醋严监管，天价榨菜惹争议,贝壳财经
5,2021-12-26,大消费专题策划三|熬过疲软期 调味品提价效果明年见,财联社
6,2021-12-23,中炬高新(600872.SH)：增持期过半 中山润田已增持67万股,格隆汇
7,2021-12-23,中炬高新(600872.SH)控股股东中山润田已增持67万股 增持期过半,智通财经
8,2021-12-21,中炬高新：中炬高新独立董事辞职公告 董监高成员变化,新浪
9,2021-12-21,中炬高新：梁彤缨辞去独立董事等职务 董监高成员变化,Wind
10,2021-12-17,北向资金结束连续12日净买入，药明康德遭大幅抛售超10亿元,Wind
11,2021-12-14,大战万科，挑战董明珠，宝能如今陷入债务危机，何以至此？,新浪
12,2021-12-14,市盈率超200倍！上市九年归母净利原地踏步，加加食品困境犹存 盈利能力下降,华夏时报
13,2021-12-14,【中泰食品|专题】价格持续修复，板块整体向好——食品饮料行业2021年10月线下商超数据点评,食品饮料俱乐部
14,2021-12-11,“吃”出来的投资机会：食品提价有望催生板块行情,Wind
15,2021-12-10,宝能兑付内讧乌龙 公司称将持续出售资产还债 资产异常,第一财经
16,2021-12-10,Wind风控日报2021年12月10日星期五,Wind
17,2021-12-09,债务违约后，宝能集团称明年6月前兑付50亿元理财产品 违约失信,中国经济周刊
18,2021-12-09,12月9日中炬高新涨停分析：食品，调味品，粤港澳大湾区概念热股,证券之星
19,2021-12-09,中炬高新：您的增持建议，我们认真研究,每日经济新闻
20,2021-12-09,中炬高新：公司控股股东承诺增持时间现未到截止时间，控股股东会根据实际资金情况进行安排,每日经济新闻
21,2021-12-09,中炬高新：公司中山厂区现有产能31万吨，技改完成后新增产能27万吨，达到58万吨,每日经济新闻
22,2021-12-09,中炬高新：公司与控股股东经营独立,每日经济新闻
23,2021-12-09,中炬高新：公司提价品类超过全部产品的70%，平均提价幅度3-10%,每日经济新闻
24,2021-12-09,中炬高新：截至10月末，已累计投入回购金额10亿元,每日经济新闻
25,2021-12-09,中炬高新：公司厨邦酱油的一直坚持天然晒制，发酵周期6个月左右,每日经济新闻
26,2021-12-09,中炬高新：公司库存水平正常指的是整体情况,每日经济新闻
27,2021-12-09,中炬高新：公司持有中山市天骄稀土材料有限公司28.5%股权,每日经济新闻
28,2021-12-09,宝能暴雷产品出具兑付方案，中炬高新压力解除,阿尔法工场
29,2021-12-09,快讯：中炬高新涨停 报于38.26元,金融界
30,2021-12-09,中炬高新(600872)：渠道信心逐渐恢复 静待基本面拐点,西南证券
31,2021-12-09,宝能发布理财产品兑付方案！将提供不少于50亿元房产和权益供选择，不晚于明年6月底组织兑付,e公司
32,2021-12-07,食品饮料行业周报：老窖激励获批 顺鑫加快地产剥离 继续看多板块Q4行情,新浪
