,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
0,2021-12-31,A股早报2021年12月31日星期五,Wind
1,2021-12-30,中航沈飞今日大宗交易成交194万股，成交价62.69元折价8.59%,Wind
2,2021-12-30,中航沈飞今日大宗交易成交1116万股，成交价62.69元折价8.59%,Wind
3,2021-12-30,A股共发生275宗大宗交易成交59.59亿元（12月30日）,Wind
4,2021-12-30,中航沈飞现10笔大宗交易 均为折价成交,证券时报网
5,2021-12-30,"中航沈飞现10笔大宗交易 共成交34,981.02万元",新浪
6,2021-12-30,中航沈飞今日大宗交易成交558万股，成交价62.69元折价8.59%,Wind
7,2021-12-30,【东北军工王凤华】行业周报：航天电子发布定增预案，产能释放加速行业需求分解,东北证券研究所
8,2021-12-23,财信证券给予中航沈飞推荐评级：需求与变革同频共振开启公司长期成长空间,每日经济新闻
9,2021-12-20,中航沈飞：股价波动一般会受国家政策、行业发展、市场情绪等多重因素影响,Wind
10,2021-12-14,国资国企改革进入关键阶段，“大央企小平台”资本运作有望提速,Wind
11,2021-12-09,瞰鉴鲁股：总市值排名被福建反超，潍坊国资拟斥资近10亿入主巴安水务,每日经济新闻
12,2021-12-07,中航西飞(000768)：2022年关联采购预计持续增长；章程首提“加大核心骨干激励”,新浪
13,2021-12-04,天风2022年度策略·军工｜2022年新建产能将进入集中爬坡\达产期,天风研究
14,2021-12-03,军工股集体造好，中直股份、中航沈飞、航天彩虹等领衔上涨,Wind
15,2021-12-03,中航沈飞控股股东航空工业集团减持1960万股 减持股份,中国经济网
16,2021-12-02,中航沈飞(600760.SH)：控股股东以集中竞价累计减持1959.992万股 减持股份,格隆汇
17,2021-12-02,中航沈飞：控股股东减持0.9997%公司股份，减持完毕,Wind
18,2021-12-02,中航沈飞(600760.SH)控股股东航空工业集团累计减持1959.99万股 减持实施完成 减持股份,智通财经
19,2021-11-29,国防军工行业周报：跨年估值切换行情有望持续 军工主流标的蓝筹化大势所趋,新浪
20,2021-11-28,国防军工行业周报：景气供需共振 关注军工电子、航发,广发证券
21,2021-11-28,国防军工行业周报：上游订货周期有望呈现 元器件最为直接,新浪
22,2021-11-24,国防军工行业周报,新浪
23,2021-11-22,中航沈飞(600760.SH)：李克明、王永庆辞任董事职务 董监高成员变化,智通财经
24,2021-11-22,中航沈飞：董事辞职 董监高成员变化,Wind
25,2021-11-22,军工股午后跳水，中航重机跌超5%,Wind
26,2021-11-21,下周解禁股名单来了！这只工控龙头将解禁超200亿元 解禁,Wind
27,2021-11-21,散户爆买30亿，6天5次20%涨停，新冠神药妖股周一复牌,Wind
28,2021-11-21,国防军工行业：“供需共振”、“产能”、“空间” 景气稳增,广发证券
29,2021-11-20,下周572亿市值限售股解禁，中控技术解禁市值超200亿 解禁,Wind
30,2021-11-19,国防军工行业周报：成长下的军工中枢向上 不断的布局机会,新浪
31,2021-11-18,航发动力(600893)公司深度：我国军用航发总装唯一上市平台 万亿航发赛道上的“中国心”,新浪
32,2021-11-17,有哪些“显山不露水”的军工基金？,养基司令
33,2021-11-16,军工行业2022年年度策略：“十四五”需求里程碑式兑现 聚焦基本面把握结构性机会,新浪
34,2021-11-16,财信证券维持中航沈飞谨慎推荐评级：公司超额达成股权激励解锁条件，收益指标远超同行,每日经济新闻
35,2021-11-16,军工股午后持续走弱，中航西飞、三角防务跌超6%,Wind
36,2021-11-16,国君军工 | 军工持仓创新高，航空航天最受关注,国泰君安证券研究
37,2021-11-15,军工基金优选：基于重仓股预期收益率,新浪
38,2021-11-15,中航沈飞最新公告：147.83万股A股限制性股票将于11月22日解锁,证券之星
39,2021-11-15,中航沈飞(600760.SH)：147.83万股限售股将于11月22日起上市流通 解禁,智通财经
40,2021-11-15,最全！2021年中国飞机产业整机制造上市公司市场竞争格局分析 三大方面全方位对比,前瞻研究院
41,2021-11-12,军工板块上中下游全面开花，多家券商认为有望保持高景气,Wind
42,2021-11-12,中航沈飞：股东中国航空工业集团有限公司于2021年11月5日至2021年11月12日期间减持公司股份约1025万股 减持股份,每日经济新闻
43,2021-11-12,中航沈飞(600760.SH)控股股东累计减持1024.63万股 减持数量过半 减持股份,智通财经
44,2021-11-12,中航沈飞：控股股东累计减持0.52%股份，减持数量过半 减持股份,Wind
45,2021-11-10,军工行业：基本面趋势不改 盈利持续高增长,新浪
46,2021-11-09,军工板块获资金增配，机构持股最大增仓变动超50%,Wind
47,2021-11-09,军工行业2022年度投资策略：迎接十四五跨越式发展,新浪
48,2021-11-06,军工基金持仓占比大幅提升　景气向好驱动配置走高,财富动力网
49,2021-11-05,银河证券：三季报表现靓丽，产能瓶颈破除助力军工行业景气度持续提升,智通财经
50,2021-11-04,国防军工：三季报业绩靓丽 进入发展快车道,新浪
51,2021-11-04,国防军工2021三季报综述：军工三季报增速40% 重点关注航发、导弹领域,新浪
52,2021-11-04,军工基金欢度“黄金周”，拆分份额笑纳新资金,Wind
53,2021-11-02,中航沈飞(600760.SH)：国有股份无偿划转获得国务院国资委批复,格隆汇
54,2021-11-02,瞰鉴鲁股：板块总市值排名下降，前三季新增上市公司数量创最高纪录,每日经济新闻
55,2021-11-02,国泰君安晨报,新浪
56,2021-11-01,国防军工行业：基本面与关注度双升 格局、空间为要,广发证券
