,2021-12-31,猪企的2021年：股价深蹲后触底反弹，下行周期下面临资金考验,华夏时报
0,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
1,2021-12-30,正邦科技(002157.SZ)控股股东解除质押9878.42万股,智通财经
2,2021-12-30,大公：关注正邦科技转让正邦食品100%股权暨关联交易,Wind
3,2021-12-29,正邦科技：生猪养殖业务快速扩张，不断构建高效育种体系,第一财经
4,2021-12-29,年内猪价“深蹲”令上市公司亏光利润，周期反转到了吗,Wind
5,2021-12-29,电力系统新规出台利好国内大储能规模扩张；“猪周期”全面配置时点已至,开源证券研究所
6,2021-12-28,华创固收2022年可转债年度策略报告：“局促”环境下的应对,Wind
7,2021-12-27,养猪大企正邦科技2022年拟向金融机构申请600亿元综合授信,搜狐
8,2021-12-27,正邦科技(002157.SZ)：2022年度拟向银行等金融机构申请总额不超600亿元综合授信,格隆汇
9,2021-12-27,正邦科技(002157.SZ)：2022年拟获控股股东及其一致行动人提供借款不超50亿元,格隆汇
10,2021-12-27,正邦科技：关于部分董事辞职暨补选董事及聘任证券事务代表的公告,新浪
11,2021-12-27,正邦科技(002157.SZ)董事程凡贵、李汉国辞职,智通财经
12,2021-12-26,正邦科技(002157.SZ)：全资子公司参与设立合伙企业完成备案登记,格隆汇
13,2021-12-26,正邦科技：公司育肥栏舍1200万头为存栏产能,每日经济新闻
14,2021-12-26,正邦科技：公司采用年限平均法对使用权资产计提折旧,每日经济新闻
15,2021-12-26,正邦科技：湖北恩施来凤县项目尚未开工,每日经济新闻
16,2021-12-26,正邦科技：育肥完全成本在仔猪端还有较大下降空间,每日经济新闻
17,2021-12-26,正邦科技：公司运用供应链金融、融资租赁、短融、绿色债等债权方式以及产业基金等股权融资方式进行融资,每日经济新闻
18,2021-12-26,正邦科技：三季度公司仔猪完全成本为580元/头,每日经济新闻
19,2021-12-26,正邦科技：公司能繁母猪100万头,每日经济新闻
20,2021-12-24,猪肉板块爬坡过坎、连涨5月，机构直指四大利好,Wind
21,2021-12-24,中金：2022年农业看好生猪及制种两条主线,Wind
22,2021-12-23,生猪存栏连续5月下降，头部猪企凭成本优势或成赢家？,Wind
23,2021-12-22,透视超2000条环境数据、涉及超700家上市公司，A股上市公司环境风险报告（2020-2021）出炉,每经头条
24,2021-12-20,聚焦生猪养殖 正邦科技2.33亿元出售正邦食品,上证报
25,2021-12-20,正邦科技剥离生猪养殖外资产 控股股东及一致行动人质押比例超80%,e公司
26,2021-12-20,正邦科技(002157.SZ)：公司及子公司分别对正邦畜牧、广西正邦增资3亿元,格隆汇
27,2021-12-20,正邦科技：拟2.33亿元将正邦食品100%股权转让给控股股东,e公司
28,2021-12-20,正邦科技(002157.SZ)拟以6亿元对下属两家子公司进行增资,智通财经
29,2021-12-20,正邦科技(002157.SZ)以2.33亿元转让正邦食品100%股权给正邦集团,智通财经
30,2021-12-20,正邦科技：拟以3亿元增资子公司,财联社
31,2021-12-20,正邦科技：拟将所持正邦食品100%股权转让给正邦集团,Wind
32,2021-12-20,正邦科技(002157.SZ)控股股东及其一致行动人质押1亿股,智通财经
33,2021-12-20,正邦科技(002157.SZ)：控股股东方面质押1亿股用于偿债,格隆汇
34,2021-12-20,正邦科技：公司控股股东正邦集团及其一致行动人累计质押股份占其所持公司股份比例已超过80%,每日经济新闻
35,2021-12-17,正邦科技：半年报中“押金及保证金”72.43亿主要核算的是客户及养户的保证金,每日经济新闻
36,2021-12-17,正邦科技：基于目前猪肉的市场行情，公司已减缓代建的节奏,每日经济新闻
37,2021-12-17,正邦科技：截至三季度末，公司银行授信总额260亿元，已使用额度180亿元，未使用额度80亿元,每日经济新闻
38,2021-12-17,正邦科技：公司的仔猪成本是包含了四项费用的完全成本,每日经济新闻
39,2021-12-17,正邦科技：为提升产能利用率，公司四季度会进行租赁产能清退工作,每日经济新闻
40,2021-12-17,市场上流传的11月底的调研报告是真的吗？正邦科技：调研活动记录表请以公司公开信息披露为准,每日经济新闻
41,2021-12-17,资金缺口从46亿飙升至超百亿，牧原股份评级惨遭被调整为负面,搜狐
42,2021-12-15,牧原股份评级展望被调为“负面” 公司称受行业周期影响财务基本面未恶化,e公司
43,2021-12-14,开源晨会1214丨聚焦元宇宙在开放世界游戏的落地及电影春节档；布局猪周期“乍暖还寒”时；老百姓、华虹半导体,开源证券研究所
44,2021-12-13,中国信用债评级调整周报,新浪
45,2021-12-10,正邦科技(002157.SZ)：江西永联质押1277.33万股,格隆汇
46,2021-12-10,正邦科技(002157.SZ)股东江西永联质押1277.33万股,智通财经
47,2021-12-10,正邦科技：正邦集团及其一致行动人累计质押公司股份约12.56亿股,每日经济新闻
48,2021-12-10,上市企业缩量 养殖盈利终扭亏为盈,新浪
49,2021-12-09,正邦科技(002157.SZ)：江西永联农业控股解押2350万股,格隆汇
50,2021-12-09,11月份成绩单亮眼，这类企业的“小确幸”能否持续,上证报
51,2021-12-09,牧原疑云背后的成本、投资探究与现金流压力,中债资信
52,2021-12-09,农林牧渔行业：11月出栏量环比略降 销售均价环比上行,广发证券
53,2021-12-09,正邦科技(002157.SZ)股东江西永联解除质押2350万股,智通财经
54,2021-12-09,正邦科技：中行江西省分行、上海市分行的100亿银行授信是对公司控股股东正邦集团的意向性信贷支持,每日经济新闻
55,2021-12-09,期市投资参考：美国通过一项提高债务上限法案，伦敦金属集体上涨,Wind
56,2021-12-09,上市猪企披露11月“成绩单”,Wind
57,2021-12-09,上市猪企披露11月“成绩单”,经济参考报
58,2021-12-08,正邦科技：公司大股东已采取多种方式积极降低质押率,每日经济新闻
59,2021-12-08,正邦科技：三季度育肥完全成本中猪苗成本占比较高，为890元/头,每日经济新闻
60,2021-12-08,正邦科技：目前屠宰主要以合作的方式为主,每日经济新闻
61,2021-12-08,正邦科技：公司未来会逐步提升自繁自养的产能占比,每日经济新闻
62,2021-12-08,正邦科技：公司在四季度会进行租赁产能的清退，短期会给公司带来成本上的波动,每日经济新闻
63,2021-12-08,行业动态|11月上市猪企价升量减 “节日坑”隐现猪价颓势难挽,财联社
64,2021-12-08,5家上市猪企生猪售价涨幅均超30%，4家销售数量环比下跌,澎湃新闻
65,2021-12-08,四季度企业评级更新多，39家评级被调低一张表可看清！,Wind
66,2021-12-08,高收益债策略周报2021年第45期：高收益债净价指数延续下行 关注乡村振兴、城市更新等投资机会,新浪
67,2021-12-07,晚间重要公告2021年12月7日星期二,Wind
68,2021-12-07,正邦科技：11月生猪销售收入同比下降64.79% 盈利能力下降,乐居财经
69,2021-12-07,正邦科技最新公告：11月份生猪销售收入环比下降5.97%、同比下降64.79% 盈利能力下降,证券之星
70,2021-12-07,正邦科技(002157.SZ)前11个月生猪销售收入284.22亿元 同比下降8.17% 盈利能力下降,智通财经
71,2021-12-07,正邦科技：11月生猪销售收入环比下降5.97% 盈利能力下降,Wind
72,2021-12-07,农林牧渔2022年投资策略：布局养殖回暖 聚焦种植变革,新浪
73,2021-12-07,农林牧渔行业2022年投资策略：猪周期进入新一轮供给收缩期 把握饲料行业集中度提升机遇,广发证券
74,2021-12-06,申万农林牧渔周观点：黄羽肉鸡景气底部回暖 关注优质行业龙头,新浪
75,2021-12-06,农林牧渔行业：猪价横盘震荡 关注产能去化节奏,新浪
76,2021-12-06,四大猪企销量齐超去年 全年生猪出栏量或超7500万头,羊城晚报
77,2021-12-06,国泰君安：维持正邦科技(002157.SZ)“增持”评级 目标价22.58元,智通财经
78,2021-12-04,【光大固收】产业债收益率涨跌互现，城投债收益率整体下行——固定收益信用周报（20211128-20211204）,微信
79,2021-12-04,Wind风控日报2021年12月4日星期六,Wind
80,2021-12-03,信用债日报：地产债延续弱势，中国恒大2.6亿美元担保无法履约,Wind
81,2021-12-03,东方金诚：将正邦科技主体信用等级由AA+下调至AA，评级展望为稳定 主体评级下调,Wind
82,2021-12-02,正邦科技20亿元短融获准注册,上证报
83,2021-12-02,正邦科技(002157.SZ)发行20亿元短期融资券获准注册,智通财经
84,2021-12-02,多番“输血”上市公司 正邦科技大股东拟债转股解压,财联社
85,2021-12-01,正邦集团签订19.8亿元市场化债转股协议,证券时报网
86,2021-12-01,晚间重要公告2021年12月1日星期三,Wind
87,2021-12-01,农业行业：紧抱生猪 反转可期,新浪
88,2021-12-01,正邦科技：控股股东及一致行动人拟进行市场化债转股,财联社
89,2021-11-30,江西区域股市周报：晨光新材涨32.29%涨幅第一 2亿融资买入赣锋锂业,每日经济新闻
90,2021-11-29,农林牧渔行业：猪价持续反弹 关注年底收官行情,新浪
91,2021-11-29,农林牧渔行业周报：猪价震荡博弈 国家农作物种业企业阵型发布,新浪
92,2021-11-29,正邦科技(002157.SZ)股东江西永联质押1500万股,智通财经
93,2021-11-29,正邦科技：江西永联累计质押公司股份约5.33亿股,每日经济新闻
94,2021-11-29,深交所：调整深证成指、创业板指、深证100等指数样本股,Wind
95,2021-11-29,银行理财资金发力权益市场：调研新能源产业链，新关注银行、养殖板块,Wind
96,2021-11-28,银行理财资金调研路线图揭晓，数十家公司股价翻倍,Wind
