,2021-12-31,天风期货2名股东合计增持3784万股 上半年公司净利408.42万,同壁财经
0,2021-12-31,天风期货（834277）：紫金矿业集团股份有限公司增持天风期货2598万股,每经网
1,2021-12-31,工信部重磅，这类产能只减不增,国家煤化工网
2,2021-12-31,年报成绩单陆续出炉，20家公司净利润预增超100%,Wind
3,2021-12-30,2021钴锂矿产争夺风云录 企业争夺锂矿涉及金额已超400亿！【年度回顾】,上海有色
4,2021-12-29,国内最大铜矿巨龙铜矿投产 铜精矿紧平衡或将缓解,证券日报网
5,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
6,2021-12-29,港股异动︱紫金矿业(02899)跌超2% 现货钯金日内跌超2% 报1949.50美元/盎司,智通财经
7,2021-12-28,海外信用评级汇总2021年12月28日星期二,Wind
8,2021-12-28,国内最大铜矿山巨龙铜业投产 曾受累藏格系困局 后易主紫金矿业,新京报
9,2021-12-28,中诚信亚太：首予紫金矿业“BBBg”长期信用评级，展望“稳定”,Wind
10,2021-12-28,紫金矿业：巨龙铜矿一期已于12月27日正式建成投产,Wind
11,2021-12-28,紫金矿业：巨龙铜矿一期已经于2021年12月27日正式投产,每日经济新闻
12,2021-12-28,高争民爆：截止目前，成远公司未参与驱龙铜矿的钻爆铲运的矿山开采业务,Wind
13,2021-12-28,紫金矿业(02899.HK)：巨龙铜业一期工程建成投产料2022年产铜12-13万吨,财华社
14,2021-12-28,刚果（金）卡莫阿-卡库拉铜矿产量已超过预期范围上限,电缆网
15,2021-12-28,紫金矿业在西藏的巨型铜矿开始投产,长江有色
16,2021-12-28,【港股通】紫金矿业(02899)巨龙铜业一期工程建成投产 料明年产铜至多13万吨,和讯
17,2021-12-27,紫金矿业：预计巨龙铜业2022年将产铜12万-13万吨,中证网
18,2021-12-27,紫金矿业今日大宗交易成交180万股，成交价8.73元折价8.87%,Wind
19,2021-12-27,紫金矿业(02899.HK)：西藏巨龙铜业一期工程建成投产 明年预计产铜12-13万吨,格隆汇
20,2021-12-27,"紫金矿业现1笔大宗交易 共成交1,571.40万元",新浪
21,2021-12-27,业绩驱动！第三轮锂涨价，2022年或迎最紧缺时刻,Wind
22,2021-12-27,A股早报2021年12月27日星期一,Wind
23,2021-12-27,巨龙铜业一期投产 明年预计产铜12万吨,全景网
24,2021-12-26,紫金矿业旗下巨龙铜业一期工程建成投产 有望提升盈利水平,e公司
25,2021-12-26,晚间重要公告2021年12月26日星期日,Wind
26,2021-12-26,紫金矿业：西藏巨龙铜业一期工程建成投产,Wind
27,2021-12-24,紫金矿业跌3.39% 中信证券高点喊买入,中国经济网
28,2021-12-24,货源短缺需求强劲，正极材料厂商备货忙,Wind
29,2021-12-23,资本动态 | 华友钴业拟4.2亿美元收购津巴布韦前景锂矿，“无锂”无前景？,财经网
30,2021-12-23,【异动股】紫金矿业(02899.HK)涨3.2%,财华社
31,2021-12-22,华友钴业出海收购锂矿，A股公司为“锂”走全球,金融界
32,2021-12-22,闻讯丨中国股市十大扩张板块公布！钢铁、化工、有色…均在列！股期联动，展望2022，哪些大宗商品可能具备投资级机会？,华闻期货
33,2021-12-22,紫金矿业超12亿入股嘉友国际 将持股21.23%加强业务协同,长江商报
34,2021-12-21,紫金矿业拟通过旗下公司入股嘉友国际 将获21.23%股权成第二大股东,每日经济新闻
35,2021-12-21,天风证券：给予嘉友国际买入评级,证券之星
36,2021-12-21,嘉友国际(603871)：定增落地引入紫金矿业 看好公司长期发展潜力,新浪
37,2021-12-21,紫金矿业：公司业务不在刚果（金）危险地区，亦未出现员工被绑架事件,Wind
38,2021-12-21,锂矿收够怎么样了？紫金矿业：目前正在积极推进和项目收购相关的审批、备案等工作,每日经济新闻
39,2021-12-21,嘉友国际(603871.SH)盘初涨超8% 紫金矿业入股成第二大股东,格隆汇
40,2021-12-20,紫金矿业拟逾12亿元入股嘉友国际 将获得超20%股权并可推荐董事,每日经济新闻
41,2021-12-20,晚间重要公告2021年12月20日星期一,Wind
42,2021-12-20,紫金矿业出资8.5亿元受让嘉友国际股份 寻求降低运输成本,e公司
43,2021-12-20,紫金矿业大宗交易成交174.00万股 成交额1593.84万元,证券时报网
44,2021-12-20,"紫金矿业现1笔大宗交易 共成交1,593.84万元",新浪
45,2021-12-20,紫金矿业今日大宗交易成交174万股，成交价9.16元折价8.03%,Wind
46,2021-12-20,紫金矿业：公司正就波格拉项目同各利益相关方积极谈判磋商,每日经济新闻
47,2021-12-20,紫金矿业：拟投资入股嘉友国际 将持其21.23%股份,财联社
48,2021-12-20,紫金矿业：全资子公司拟8.5亿元受让嘉友国际14.21%股份,Wind
49,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
50,2021-12-20,【异动股】紫金矿业(02899.HK)跌3.32%,财华社
51,2021-12-17,紫金矿业(601899.SH)将获嘉友国际21.23%股权提升物流效率及降低运输成本,智通财经
52,2021-12-17,紫金矿业(601899.SH)：子公司拟以8.50亿元受让嘉友国际14.21%股份,格隆汇
53,2021-12-17,港股异动︱紫金矿业(02899)涨超4% 同福州大学及北京三聚环保公司共同建设氨工业催化国家工程研究中心,智通财经
54,2021-12-17,【异动股】紫金矿业(02899.HK)涨3.56%,财华社
55,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
56,2021-12-16,紫金矿业大宗交易成交140.00万股 成交额1344.00万元,证券时报网
57,2021-12-16,"紫金矿业现1笔大宗交易 共成交1,344.00万元",新浪
58,2021-12-16,紫金矿业今日大宗交易成交140万股，成交价9.6元折价5.04%,Wind
59,2021-12-16,紫金矿业集团：“21紫金矿业GN001(碳中和债)”募集资金用途发生变更,Wind
60,2021-12-16,紫金矿业全面布局海南,证券导报
61,2021-12-16,A股融资融券日报：两融余额增加10.27亿元（12月15日）,Wind
