,2021-12-31,A股共发生154宗大宗交易成交34.19亿元（12月31日）,Wind
0,2021-12-31,天赐材料今日大宗交易成交353万股，成交价110.06元折价4.0%,Wind
1,2021-12-31,行业观察|“宁王”再扩产！锂电行业产能过剩与供应链紧张两头难 谁会成为“灰犀牛”？,财联社
2,2021-12-31,恩捷股份、天赐材料、璞泰来，谁是盈利能力最强的电池化学品企业？,Ofweek
3,2021-12-30,年内公募基金调研公司数量超1600家！关注电子行业,资本邦
4,2021-12-30,18股获券商买入评级 同惠电子目标涨幅达96.46%,Wind
5,2021-12-30,天赐材料拟8.2亿扩产电解液 加码华南市场强化重点客户联系,长江商报
6,2021-12-29,天赐材料：作为锂离子电池电解液的核心原材料，目前六氟磷酸锂的需求仍然旺盛,每日经济新闻
7,2021-12-29,天赐材料拟8.2亿投建锂电池电解液项目 扩大锂电版图,硅谷动力
8,2021-12-29,天赐材料：公司生产的电解液在动力及储能电池均可使用,Wind
9,2021-12-29,天赐材料：LiFSI具有优秀的热稳定性、电化学稳定性和更高电导率,每日经济新闻
10,2021-12-29,天赐材料：公司通过自产和外购的方式，能够确保LiFSI的原材料的供应,每日经济新闻
11,2021-12-29,天赐材料：公司通过自研自产核心关键原材料，包括六氟磷酸锂、添加剂、新型锂盐等,每日经济新闻
12,2021-12-29,天赐材料：目前公司VC产能约1000t/a，LiFSI产能约2300t/a,每日经济新闻
13,2021-12-29,8.2亿！最热锂电材料再获投资,长江有色
14,2021-12-29,8.7亿元出手两项目扩张锂电池版图天赐材料紧密“折腾”迎虎年,电鳗快报
15,2021-12-29,天赐材料(002709)：电解液产能再加码 完善产业区域布局,光大证券
16,2021-12-29,【天赐材料（002709.SZ）】电解液产能再加码，完善产业区域布局——公告点评（赵乃迪）,新浪
17,2021-12-29,天赐材料拟建20万吨锂电池电解液项目,发布易
18,2021-12-28,六氟磷酸锂价格暴涨 天赐材料再度加码电解液项目,金融界
19,2021-12-28,晚间重要公告2021年12月28日星期二,Wind
20,2021-12-28,天赐材料拟设立全资子公司投建年产20万吨锂电池电解液项目,上证报
21,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
22,2021-12-28,项目总投资8.2亿元 天赐材料(002709.SZ)年产20万吨锂电池电解液项目落户肇庆,格隆汇
23,2021-12-28,天赐材料(002709.SZ)：子公司以5056万元价格竞得衢州市一宗工业用地,格隆汇
24,2021-12-28,天赐材料(002709.SZ)竞得衢州一处工业用地以满足项目建设需要,智通财经
25,2021-12-28,天赐材料：拟8.2亿元投建“年产20万吨锂电池电解液项目”,财联社
26,2021-12-28,机构且战且退，新能源板块何去何从,Wind
27,2021-12-27,"天赐材料现2笔大宗交易 共成交4,905.20万元",新浪
28,2021-12-27,天赐材料今日大宗交易成交21.25万股，成交价113.15元溢价0.27%,Wind
29,2021-12-26,【德邦金工|周报】新能源集体回调，避险情绪升温 20211226,微信
30,2021-12-25,北向资金五个交易日出逃近78亿元，甩卖酿酒股近46亿元，扫货这些龙头股（名单）,21世纪经济报道
31,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
32,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
33,2021-12-22,"天赐材料现1笔大宗交易 共成交3,266.55万元",新浪
34,2021-12-22,天赐材料今日大宗交易成交27.45万股，成交价119.0元折价0.73%,Wind
35,2021-12-21,华为P50 Pocket亮相，高端手机创新浪潮再起,Wind
36,2021-12-21,北向资金动向盘点：不仅没砸盘，反而逢低净买电子、传媒,Wind
37,2021-12-20,天赐材料两连阴 招商证券中泰证券高点唱多,中国经济网
38,2021-12-20,天赐材料：拟以不超6000万元参与竞拍衢州市高新片区的地块,财联社
39,2021-12-20,天赐材料(002709.SZ)拟斥不超6000万元参与竞拍衢州一地块使用权,智通财经
40,2021-12-20,锂电“扩产潮”来袭 天赐材料拟募资25.6亿元加码,中国经营报
41,2021-12-20,三年累计收益近4倍，“神”基金是怎样炼成的,Wind
42,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
43,2021-12-17,本周11家上市公司发布可转债预案 融资总规模达99.78亿元,Wind
44,2021-12-17,天赐材料大宗交易成交9850.51万元,证券时报网
45,2021-12-17,"天赐材料现1笔大宗交易 共成交9,850.51万元",新浪
46,2021-12-17,净买入超820亿元，北上资金单月流入金额又创新高,Wind
47,2021-12-17,从联合国“点赞”中国基金，看投资收益率会不会与ESG理念打架？,Wind
48,2021-12-16,聚焦IPO | 海科新源营收有虚增嫌疑，采购数据或不真实 欺诈造假,红周刊
49,2021-12-16,EDA第一股今日申购，市盈率超500倍，北上资金买爆股票出炉,Wind
50,2021-12-16,A股早报2021年12月16日星期四,Wind
51,2021-12-15,两市共发生158宗大宗交易 机构抢筹这些个股,第一财经
52,2021-12-15,天赐材料发生2笔大宗交易 合计成交1.82亿元,证券时报网
53,2021-12-15,"天赐材料现2笔大宗交易 共成交18,174.76万元",新浪
54,2021-12-15,天赐材料今日大宗交易成交66.19万股，成交价123.8元溢价0.0%,Wind
55,2021-12-14,【热点零距离】电解液江湖硝烟再起！江苏国泰增资扩建66吨电解液项目,财华社
56,2021-12-14,天赐材料(002709.SZ)：向激励对象授予股票期权24.315万份、限制性股票457.365万股,格隆汇
57,2021-12-14,天赐材料(002709.SZ)向激励对象首次授予股票期权与限制性股票,智通财经
58,2021-12-14,）新亚强：公司在部分功能性助剂产品上与天赐材料有业务合作,Wind
59,2021-12-14,能源化工行业周观点：政策发力稳增长 碳排放双控催生长期机遇,新浪
60,2021-12-14,【机会挖掘】新能源汽车产销继续创新高 产业链步入高速成长阶段,证券时报网
61,2021-12-14,元宇宙满屏涨停，北上资金爆买金融白酒,Wind
62,2021-12-13,中泰金工定向增发跟踪周报（12/12）,ZTQuant
63,2021-12-13,天赐材料再投9.35亿，扩产六氟磷酸锂等电解液材料,Ofweek
64,2021-12-13,天赐材料募资25.61亿大扩产,Ofweek
65,2021-12-13,天赐材料跌3.94% 招商证券中泰证券高点唱多,中国经济网
66,2021-12-13,天赐材料26.5亿夯实锂电产业一体化战略,高工锂电
67,2021-12-13,天赐材料拟发行不超25.61亿可转债 扩产六氟磷酸锂等电解液材料,长江有色
68,2021-12-13,陆家嘴财经早餐2021年12月13日星期一,Wind
69,2021-12-12,【德邦金工|周报】沪深300突破年线后回落，创业板指谨慎配置 20211212,微信
70,2021-12-12,下周操盘攻略：跨年蓝筹行情正临近,Wind
71,2021-12-12,多数海外中国地区基金收益为负，重仓茅台的回撤20%,Wind
72,2021-12-12,下周这只股解禁近140亿元！逾360亿市值股股东解禁浮盈超20亿元 解禁,Wind
73,2021-12-12,下周这只股解禁近140亿元！逾360亿市值股股东解禁浮盈超20亿元（附名单） 解禁,中证报
74,2021-12-12,接连暴雷，又有1.2亿元定存到期未到账，监管层高度关注！下周56股面临解禁，压力最大股解禁市值达139亿元（附股） 其他违规处罚,证券时报网
75,2021-12-10,下周401亿市值限售股解禁，恒玄科技解禁139亿居首 解禁,Wind
76,2021-12-10,天赐材料最新公告：以自有资金3.5亿元对全资子公司南通天赐增资,证券之星
77,2021-12-10,天赐材料拟发行可转债募资不超25.61亿元,上证报
78,2021-12-10,天赐材料：拟发行可转债不超25.61亿元 用于锂电新材料等项目,第一财经
79,2021-12-10,天赐材料(002709.SZ)拟对子公司南通天赐增资3.5亿元,智通财经
80,2021-12-10,天赐材料(002709.SZ)拟购买关联方江苏中润全部资产,智通财经
81,2021-12-10,天赐材料(002709.SZ)拟发行可转债募资不超25.6亿元,智通财经
82,2021-12-10,天赐材料：拟发行可转债不超过约25.61亿元,每日经济新闻
83,2021-12-10,天赐材料：拟发行可转债不超25.6亿元 用于年产15.2万吨锂电新材料等项目,财联社
84,2021-12-10,天赐材料大宗交易成交9945.78万元,证券时报网
85,2021-12-10,"天赐材料现1笔大宗交易 共成交9,945.78万元",新浪
86,2021-12-10,天赐材料今日大宗交易成交78万股，成交价127.51元折价1.61%,Wind
87,2021-12-10,2021年11月中国A股电池行业上市企业市值排行榜：宁德时代总市值突破1.5万亿元,智研咨询
88,2021-12-09,天赐材料(002709.SZ)：2448.98万股定增股票将于12月15日上市,格隆汇
89,2021-12-09,天赐材料(002709.SZ)2448.98万股限售股于12月15日上市流通 解禁,智通财经
90,2021-12-09,天赐材料：约2448.98万股限售股12月15日解禁，占比约2.56% 解禁,每日经济新闻
91,2021-12-09,北向资金狂买A股超200亿净买入额创历史次高，继续大幅抢筹白酒股,Wind
92,2021-12-08,电力设备与新能源行业专题策略报告：电动车蓬勃发展 风光储吹响碳中和冲锋号角,新浪
93,2021-12-08,锂电池产业链表现活跃，当升科技、嘉元科技、天赐材料涨幅靠前,Wind
94,2021-12-07,【观察】再扩产！天际股份（002759.SZ）加码布局六氟磷酸锂！,财华社
95,2021-12-07,多氟多：产能“跃进”再“画饼”,证券市场周刊
96,2021-12-07,电气设备行业周报：光伏硅片下调报价 产业博弈出现拐点,新浪
97,2021-12-07,外资月报第26期：外围扰动加剧 配置盘稳步流入,新浪
98,2021-12-06,天赐材料(002709.SZ)：减持期届满 部分董事均未减持股份,格隆汇
99,2021-12-06,天赐材料：董事、高级管理人员顾斌、徐三善、韩恒及赵经纬减持计划完成，均未减持公司股份,每日经济新闻
100,2021-12-06,天赐材料(002709.SZ)部分董事高管减持计划期满 均未减持,智通财经
101,2021-12-06,聚焦IPO | 海科新源募投环评程序或存违规，客户向上游拓展产业链让公司承压,红周刊
102,2021-12-06,电气设备行业周报：11月新势力销量大超预期 欧洲销量环比回暖,新浪
103,2021-12-06,电力设备新能源行业周报：“蔚小理哪”11月销量破万 第二批风光大基地启动,新浪
104,2021-12-06,2021年基金，买了个“寂寞”,Wind
105,2021-12-06,石油化工新材料行业北上资金周报,新浪
106,2021-12-06,基础化工行业周报：政策陆续出台利好氢能行业发展 氟化工向高附加值产品延伸,光大证券
107,2021-12-05,电气设备行业周报：硅片加速尺寸变革推动降本 11月国内外电车销量持续向上,新浪
108,2021-12-05,新能源行业每周观察：行业趋势已成：详解长沙国际储能大会四大看点,新浪
109,2021-12-04,中信证券：新型锂盐LiFSI 锂电中游材料的下一个风口,Wind
110,2021-12-04,中信证券：新型锂盐LiFSI 锂电中游材料的下一个风口,e公司
111,2021-12-03,新能源汽车行业2022年度策略：景气持续向上 关注格局分化,新浪
112,2021-12-03,次新基金首尾相差超100个百分点，新能源主题表现亮眼,Wind
113,2021-12-02,11月金股组合亏损1.76% 12月荐股名单出炉 亏损,新浪
