,2021-12-31,中国交建：截至目前公司与福田汽车没有具体的业务合作,每日经济新闻
845,2021-03-25,中交集团主要领导会见中国中小企业国际合作协会执行会长刘玉浦,中国交建
846,2021-03-25,苏博特：扣非净利润同比增长27% 市场规模不断扩大,挖贝网
847,2021-03-25,中交四航局周日仔：基建人的地产“新赛道”,乐居财经
848,2021-03-24,周日仔：地产“基建人”,乐居财经
849,2021-03-24,中交集团主要领导会见青岛市市长赵豪志,中国交建
850,2021-03-24,特变电工、电建、能建等企业签约8个国际项目,国际电力网
851,2021-03-23,交通运输部就《水运工程通用作业安全技术规程》公开征求意见,上证报
852,2021-03-23,国盛证券：建筑板块低估值央企性价比突显 供给侧逻辑驱动价值重估,第一财经
853,2021-03-23,【朝闻国盛0323】低估值央企性价比突显，供给侧逻辑驱动价值重估,国盛证券研究所
854,2021-03-23,年报披露前夜 永升生活服务为何遭沽空 投资评级恶化,北京商报
855,2021-03-22,再发澄清永升生活服务年报披露前夕惨遭GMT沽空的背后 被出具沽空报告,北京商报
856,2021-03-22,基础设施投融资机制改革系列报告之十二：建筑央企开展基础设施REITS试点 助推改革持续深化,新浪
857,2021-03-22,GMT沽空永升生活服务七大看点：上市以来涨近10倍 中信看好,新浪
858,2021-03-22,建筑装饰行业周报：建筑板块持续出现超额收益 推荐装配式与估值基建,新浪
859,2021-03-22,绿城中国委任吴文德、洪蕾为执行董事 均曾任职于中交集团,金融界
860,2021-03-22,绿城中国：委任吴文德为执行董事、执行总裁,中国网
861,2021-03-21,【安信建筑】行业周报0321：1-2月基建投资增速如期回升，多项政策规划助力建设需求释放,勇往直前
862,2021-03-21,建筑行业周观点：建筑板块持续出现超额收益，推荐装配式与低估值基建,华创建筑建材研究
863,2021-03-20,王海怀拜会成都市市长王凤朝,中国交建
864,2021-03-20,永升生活服务“遇袭”记,新浪
865,2021-03-19,大热物业股与空头首场交锋 永升生活服务回击GMT沽空指控 被出具沽空报告,观点地产网
866,2021-03-19,振华重工：因工作调动 朱连宇辞去董事、董事长等职 董监高成员变化,中国经济网
867,2021-03-19,中交集团主要领导会见兵器工业集团总经理刘大山,中国交建
868,2021-03-19,【机会挖掘】去年新开工装配式建筑达6.3亿平方米 同比增长50%,证券时报网
869,2021-03-18,王海怀拜会四川省委书记彭清华,中国交建
870,2021-03-18,中交投资完成3年期10亿元公司债发行 票面利率3.73%,观点地产网
871,2021-03-17,券商眼中的“碳中和”与“顺周期”,大众证券报
872,2021-03-16,两市破净股数量达336只（附股）,证券时报网
873,2021-03-16,中国交建：康得新退市对公司不构成影响,Wind
874,2021-03-15,融资客青睐8股，奥来德买入占比高达47.09%,Wind
875,2021-03-15,“碳中和”被集中关注，哪些板块还有机会？券商这样看,第一财经
876,2021-03-15,建筑装饰行业周报：短看低估值蓝筹性价比 长看装配式、BIPV等绿色产业链成长性,新浪
877,2021-03-15,安信证券：看好碳中和背景下装配式建筑及园林投资机会,Wind
878,2021-03-15,安信证券：看好碳中和背景下装配式建筑及园林投资机会,证券时报网
879,2021-03-14,建筑行业周观点：装配式建筑超额完成十三五目标，钢结构加速发展,华创建筑建材研究
880,2021-03-14,【安信建筑】行业周报0314：十四五规划明确建设目标，装配式建筑“十三五”工作目标实现,勇往直前
881,2021-03-14,中交集团主要领导出席公司海外改革工作推进专题会议,中国交建
882,2021-03-12,地产股收盘丨沪指收涨0.47% 迪马股份、嘉凯城涨停,中金在线
883,2021-03-12,八大券商主题策略：关于碳中和 四十年投资蓝图徐徐展开（标的全览）,中金在线
884,2021-03-11,当天浮运，当天安装！大连湾海底隧道首个标准管节顺利对接,中国交建
885,2021-03-11,中交集团主要领导赴车辆公司开展调研,中国交建
886,2021-03-11,中国交建拟为海口和美安居增资 出让其50%股份,中金在线
887,2021-03-10,超34亿元！中交联合体中标雄安新区至北京大兴机场快线项目,中国交建
888,2021-03-10,深圳数研院：无纸化会议为什么在这么多行业都受到青睐,砍柴网
889,2021-03-10,中国交建参股成立轨道交通投资公司 注册资本约为16.71亿元,乐居财经
890,2021-03-10,晨会聚焦210310重点关注星宇股份、建筑行业、宋城演艺、道通科技、国内外投影机空间几何？,国信研究
891,2021-03-10,推进智慧企业建设，浪潮打造数字经济新优势,工业电器网
892,2021-03-10,国信证券--建筑行业3月投资策略暨年报前瞻：优选低估值龙头【行业研究】,金融界股吧
893,2021-03-09,中交集团主要领导赴财务公司开展调研,中国交建
894,2021-03-09,地产股收盘丨沪指收跌1.82% 京投发展收涨2.81% 美好置业跌停,中国网
895,2021-03-09,中交马来西亚公司中标建筑和码头两项目,鲸平台
896,2021-03-08,建筑与工程深度报告：以退为进 低估值建筑值得配置,新浪
897,2021-03-08,建筑装饰行业研究周报：两会释放资金利好 建筑低估值蓝筹彰显高性价比,新浪
898,2021-03-08,国盛证券--建筑装饰行业周报：“碳中和”建筑行业机会再梳理【行业研究】,金融界股吧
899,2021-03-08,42亿元！中交联合体中标重庆轨道交通18号线北延工程,中国交建
900,2021-03-07,建筑行业周观点：推荐装配式与低估值基建,华创建筑建材研究
901,2021-03-05,王海怀会见三亚市副市长何世刚,中国交建
902,2021-03-05,政策聚焦立体交通网建设，机构推荐这几个品类的基建龙头丨牛熊眼,第一财经
903,2021-03-05,创新驱动发展 建科机械喜迎专利收获期,全景网
904,2021-03-05,中交集团与万科集团签订战略合作协议,中金在线
905,2021-03-05,晨报0305 | 焦炭行业专题、中国中铁（601390）,国泰君安证券研究
906,2021-03-04,中交集团主要领导赴中交深圳工程局开展调研,中国交建
907,2021-03-04,中煤能源、中国交建主要领导人员调整,e公司
908,2021-03-04,万科与中交集团战略合作 推动合作项目粤港澳大湾区落地,乐居财经
909,2021-03-03,中交集团与广州市政府签订战略合作协议,中国交建
910,2021-03-03,355只股破净20股股价不足每股净资产一半,证券时报网
911,2021-03-03,中泰证券--中泰建筑周报：反弹能否持续【行业研究】,金融界股吧
912,2021-03-02,国盛证券--建筑装饰行业周报：碳中和首推水泥工业升级龙头中材国际，经济复苏看好装饰龙头金螳螂【行业研究】,金融界股吧
913,2021-03-01,中交集团：联合中标卢氏至洛南（豫陕省界）高速项目,第一财经
914,2021-03-01,PPP概念股近三日最受主力资金青睐,证券时报网
915,2021-03-01,惠誉：中国最新的交通计划将有利于工程和建筑公司,云掌财经
916,2021-03-01,建筑行业周观点：装配式不惧调整,华创建筑建材研究
917,2021-03-01,财联社3月1日早报（周一）,财联社
918,2021-03-01,【有声早报】华龙证券3月1日财经早报,华龙掘金
919,2021-02-26,中国交建：联合中标天津地铁11号线延伸工程,Wind
920,2021-02-26,近42亿元！中交联合体中标天津地铁11号线延伸工程,中国交建
921,2021-02-25,性价比+价值风来袭：除了地产银行，还有这些,Wind
922,2021-02-25,380只股破净19股股价不足每股净资产一半,证券时报网
923,2021-02-25,憧憬两会新政 基建股集体活跃,格隆汇
924,2021-02-25,低估值基建股再起波澜 机构：从五个角度把握板块春季行情丨牛熊眼,第一财经
925,2021-02-25,中字头崛起，中国中铁领涨3%,Wind
926,2021-02-24,中国能建：鲸吞葛洲坝后的“三级跳”,国际电力网
927,2021-02-24,中交四航院中标香港机场项目,微信
928,2021-02-24,大股东两年三度增资 英大基金能否“否极泰来”,北京商报
929,2021-02-23,377只股破净银行板块破净率最高,证券时报网
930,2021-02-23,八大建筑央企合围10万亿环保市场 谁能率先突围？,环保在线
931,2021-02-23,安信证券--建筑行业：多地明确2021年重点建设计划，低估值板块基本面向好配置价值凸显【行业研究】,金融界股吧
932,2021-02-23,八大建筑央企合围10万亿超级市场 谁能率先突围？,北极星节能
933,2021-02-22,374只股破净房地产交通运输最为集中,证券时报网
934,2021-02-21,建筑装饰行业：利率上行通道中的价值重估、逆周期氛围的形成与中周期逻辑的展开,新浪
935,2021-02-20,建筑装饰行业研究周报：1月基建相关社融指标创历史新高 继续看好Q1基建回暖,新浪
936,2021-02-20,海螺水泥重点工程巡礼丨铜陵海螺与池黄铁路的故事,海螺水泥
937,2021-02-19,中交集团主要领导赴中交疏浚开展调研,中国交建
938,2021-02-19,基建水泥股进一步拉升,格隆汇
939,2021-02-18,两市破净股数量达410只（附股）,证券时报网
940,2021-02-18,建筑行业第207期周报：顺周期化工有色趋势向上 钢结构业绩确定性增强,新浪
941,2021-02-11,中交集团主要领导视频连线慰问驻海外员工,中国交建
942,2021-02-10,中国短期融资券及中期票据信用分析周报,新浪
943,2021-02-09,中交集团主要领导出席马东铁项目2021年工作会,中国交建
944,2021-02-09,中国-中东欧国家领导人峰会成果清单公布,Wind
945,2021-02-09,上市公司正负面新闻2021年2月9日星期二,Wind
946,2021-02-09,三大板块可以持股过节,云掌财经
947,2021-02-08,A股头条之上市公司（2.9）,金融界
948,2021-02-08,公告精选丨阿里网络间接持有申通快递25%，中核钛白年内第二次涨价,21世纪经济报道
949,2021-02-08,龙泉股份(002671.SZ)预中标胶东半岛战略水源地提质增容工程一期工程设计施工总承包项目1、2工区PCCP管材采购项目,格隆汇
950,2021-02-08,晚间重要公告2021年2月8日星期一,Wind
951,2021-02-08,中国交建(601800.SH)2020年新签合同额10667.99亿元 同比增长10.59%,格隆汇
952,2021-02-08,2月8日晚间上市公司利好消息一览(附名单),中金在线
953,2021-02-08,神州高铁(000008.SZ)正式成为3号线项目公司股东,格隆汇
954,2021-02-08,中国交建2020年新签合同金额10668亿 同比增10.59%,观点地产网
955,2021-02-08,中国交建：2020年新签合同额1.07万亿元 同比增10.59%,e公司
956,2021-02-08,建筑行业周观点：钢结构长期成长性优异，格局优良利好龙头,华创建筑建材研究
957,2021-02-08,建筑行业第206期周报：继续推荐顺周期制造业国际工程、装配式与基建龙头,新浪
958,2021-02-08,金融科技公司+金融机构 数字供应链金融合作愈发深入,中国金融新闻网
959,2021-02-07,中交集团主要领导赴水规院开展调研,中国交建
960,2021-02-07,建筑装饰行业研究周报：21Q1基建景气度上行 继续推荐装配式龙头及低估值蓝筹,新浪
961,2021-02-07,建筑业生产规模快速扩大 主要指标创历史新高,中国报告大厅
962,2021-02-06,中交集团主要领导会见安永中国主席兼大中华区首席执行官陈凯,中国交建
963,2021-02-06,混改“模范生”绿城中国，是否有国资流失嫌疑？,云掌财经
964,2021-02-05,苏博特： 拟投资5亿元建设新材料产业基地,中国混凝土网
965,2021-02-04,中国交建间接控股子公司环境违法被罚3万元 环保处罚,每日经济新闻
966,2021-02-04,中交海洋投资5.98亿挂牌转让成都项目公司40%股权及债权 资产异常,乐居财经
967,2021-02-04,建筑装饰行业2020年业绩前瞻：装配式业绩兑现 工程龙头集中度不断提升,新浪
968,2021-02-04,中交海洋投资底价6亿元挂牌转让中交凤凰湖实业40%股权及债权 资产异常,乐居财经
969,2021-02-03,建筑行业周观点：2020年板块经营数据概览：基建央企及钢结构持续高增，装饰企业大多下滑,华创建筑建材研究
970,2021-02-03,安信证券--建筑行业动态分析：基建公募REITs规则落地，重大水利建设获得推进【行业研究】,金融界股吧
971,2021-02-03,央企人事调整：华录集团、中国普天、中国交建等3户中央企业4名领导人员职务任免,经济网
972,2021-02-02,建科机械入选中铁股份采购供应商 业绩增长进入快车道,全景网
973,2021-02-02,上市公司正负面新闻2021年2月2日星期二,Wind
974,2021-02-01,中国交通建设(01800)2021年目标新签合同额及营收同比增长均不低于10%,智通财经
975,2021-02-01,公告精选丨华夏幸福及下属子公司52.55亿债务逾期，万达电影等多家公司收关注函,21世纪经济报道
976,2021-02-01,【安信建筑】行业周报0207：城镇化建设不断推进，海河水利建设发展可期,勇往直前
977,2021-02-01,A股头条之上市公司（2.2）,金融界
978,2021-02-01,公告精选丨宁德时代约1.22亿股限售股2月4日解禁，万达电影等多家公司收关注函,21世纪经济报道
979,2021-02-01,晚间重要公告2021年2月1日星期一,Wind
980,2021-02-01,2月1日晚间上市公司十大重磅公告,巨丰财经
981,2021-02-01,中国交建：两家下属公司拟合计出资6408.33万元参设项目公司,发布易
982,2021-02-01,中国交建(601800.SH)拟携碧水源投建海南文昌污水处理相关项目,智通财经
983,2021-02-01,中国交建(601800.SH)拟投资衡阳市城区智慧停车管理系统和公共停车场建设PPP项目,格隆汇
984,2021-02-01,中国交建(601800.SH)拟携振华重工等投建湖南衡阳城区智慧停车相关项目,智通财经
985,2021-02-01,中国交建：出资投资衡阳市城区智慧停车管理系统和公共停车场建设PPP项目,中国网
986,2021-02-01,中国交建：中交东北拟向哈尔滨杨柳郡置业提供股东借款2.56亿元 大额借贷担保,中国网
987,2021-02-01,中国交建：出资投资文昌市污水处理设施及配套管网工程PPP项目,中金在线
988,2021-02-01,中国交建：规划2021年度营业收入同比增长不低于10%,格隆汇
989,2021-02-01,中国交建(601800.SH)拟投资建设文昌市污水处理设施及配套管网工程PPP项目,格隆汇
990,2021-02-01,436只股破净28股股价不足每股净资产一半,证券时报网
991,2021-02-01,国盛证券--建筑装饰行业周报：聚焦智能制造与建筑工业化，重点推荐中材国际与装配式龙头【行业研究】,金融界股吧
992,2021-02-01,独立学者蒲勇健解读：川渝联合成立高竹新区，意欲何为？,36氪
993,2021-02-01,环保行业简评报告：混改持续活跃 竞争格局重塑,首创证券
994,2021-01-28,平安资管直接投资于实体经济资金规模突破万亿元,上证报
995,2021-01-28,中银证券--建筑行业20Q4持仓点评：板块关注度仍较低，化建与基建持股分化【行业研究】,金融界股吧
996,2021-01-28,中泰证券--建筑装饰行业周报：订单周期加速上行【行业研究】,金融界股吧
997,2021-01-28,2020年土壤环境修复热点事件盘点（下）,北极星节能
998,2021-01-27,中交集团主要领导会见泰康保险集团董事长兼首席执行官陈东升,中国交建
999,2021-01-27,【中金固收·信用】中国短期融资券及中期票据信用分析周报 20210127,中金固定收益研究
1000,2021-01-27,建筑行业又中招！世界500强子公司遭开假票,中国水泥网
1001,2021-01-27,中银证券--建筑行业周报：行业关注度仍低，继续推荐装配式与工业建筑【行业研究】,金融界股吧
1002,2021-01-26,中国交建拟发行20亿元超短期融资券,乐居财经
1003,2021-01-26,建筑装饰行业点评：订单万亿央企为何仍能“疾驰”？,新浪
1004,2021-01-25,【安信建筑】行业周报0131：基建公募REITs规则落地，重大水利建设获得推进,勇往直前
1005,2021-01-25,2020全国落实水利建设投资7695亿元 今年中国加快150项重大水利工程建设,中研网
1006,2021-01-25,总额超1000亿！中交集团接连中标13个大项目－国务院国有资产监督管理委员会,国资委
1007,2021-01-25,神州高铁接管运营天津地铁2号线，轨交运维后市场大幕揭开,证券时报
1008,2021-01-24,建筑行业周观点：PC行业供求失衡，推荐钢结构与装配式装修,华创建筑建材研究
1009,2021-01-24,建筑装饰行业Q4建筑板块基金持仓分析：机构重仓持股占比创历史新低 装配式龙头减仓股数较多,新浪
1010,2021-01-24,地铁2、3号线存量资产实现“引智引资” 今起正式以PPP模式运营,天津政务网
1011,2021-01-23,苏州水务局与中交（苏州）城市开发建设有限公司签约 共同推进水环境治理修复,北极星节能
1012,2021-01-22,46股连续下跌超5天 这些“中字头”个股在列 连续下跌,第一财经
1013,2021-01-22,1月22日保险日报：多家险企股权待沽,新浪
1014,2021-01-20,千亿市值白马股重回升势！5张图看清其内部分化,Wind
1015,2021-01-20,北京天源迪科牵手亚朵，打造电商采购新体验,砍柴网
1016,2021-01-19,神州高铁(000008.SZ)已正式成为天津地铁2号线项目公司股东并参与运营,格隆汇
1017,2021-01-18,建筑行业第203期周报：继续推荐装配式、顺周期制造业国际工程与低估值基建央企蓝筹,新浪
1018,2021-01-18,建筑行业动态分析：2020年社融增量超30万亿元 水利建设投资创历史新高,新浪
1019,2021-01-18,市场增速下滑 基建央企加速进入彼此传统市场,中国经营报
1020,2021-01-18,建筑材料行业：春季行情叠加业绩兑现期 继续推荐消费建材、玻璃、装配式建筑,新浪
1021,2021-01-18,建筑装饰行业周报：建筑板块涨幅居前 装配式与基建配置价值凸显,新浪
1022,2021-01-17,总额超千亿！中交集团开局冲刺，一路“标”升,中国交建
1023,2021-01-17,首单地铁TOT落地始末,经济观察报
1024,2021-01-16,2021年基建投资增长能否支撑相关板块的价值重估,经济观察网
1025,2021-01-16,首单地铁TOT落地 地方财政压力是否会推动更多TOT落地？,经济观察网
1026,2021-01-15,中国“神”车回落： “中字股”行情有所分化 后续机会还有吗？,新浪
1027,2021-01-15,地产股收盘丨指数午后探底回升 奥园美谷涨停 美好置业跌停,中国网
1028,2021-01-14,时代看盘：A股行情分化，外资不惧调整大肆扫货，回调就是加仓机会,时代在线
1029,2021-01-14,中交集团主要领导赴中交投资开展调研,中国交建
1030,2021-01-14,1月14日晚间重要行业研究汇总(附股),中金在线
1031,2021-01-14,中字头基建股连日走强，交通基建板块价值修复中,经济观察网
1032,2021-01-14,巨丰收评：市场构筑高位箱体 超跌板块迎反弹,巨丰财经
1033,2021-01-14,A股收盘综述：上证指数跌0.91%，长城汽车、酒鬼酒、航发动力等抱团强势股跌停,Wind
1034,2021-01-14,建筑行业1月投资策略：估值龙头价值凸显，维持“超配”评级,国信证券
1035,2021-01-14,什么情况？白酒股大跌2000亿！千亿芯片股涨13%,中国基金报
1036,2021-01-14,高铁基建逆势大涨，如何把握“中”字头机会？,养基司令
1037,2021-01-14,晨会聚焦210114重点关注社会服务行业、商贸零售、建筑行业、商业地产专题报告、高温合金专题,国信研究
1038,2021-01-14,大央企基建指数涨超4%，中国中铁、中国化学、电建、铁建、交建等集体上扬,Wind
1039,2021-01-14,建筑行业1月投资策略：低估值龙头价值凸显,新浪
1040,2021-01-14,1月13日开盘前瞻 | 港股资金抱团分歧显现 中字头股接棒需谨慎,智通财经
1041,2021-01-14,“中字头”逆势爆发 低估值龙头“真香”,财富动力网
1042,2021-01-13,智通港股解盘(1.13) | 上行势头减弱 重新审视货币政策,智通财经
1043,2021-01-13,蜀黍说市|中字头大股票一通大涨！传递什么信号？后市主线定了！,搜狐
1044,2021-01-13,地产股收盘丨两市成交额连续八日破万亿 南国置业、格力地产涨停,中金在线
1045,2021-01-12,【安信建筑】行业周报0117：2020年社融增量超30万亿元，水利建设投资创历史新高,勇往直前
1046,2021-01-12,中交集团主要领导拜会国家国际发展合作署署长王晓涛,中国交建
1047,2021-01-12,地产股收盘丨沪指站上3600点 格力地产、嘉凯城涨停,中国网
1048,2021-01-12,2020年我国水利建设投资7700亿元 水利标准化推动水利高质量发展,中研网
1049,2021-01-11,乌干达总统穆塞韦尼为中国交建公路项目通车剪彩,中国交建
1050,2021-01-11,建筑装饰行业报告：发改委官网通报审批项目总额再创新高,新浪
1051,2021-01-10,【天风建筑周报】发改委官网通报审批项目总额再创新高,笑谈建筑
1052,2021-01-10,建筑行业周报：浅谈地方债务与建筑央企扩张的关系,新浪
1053,2021-01-10,固收周报：风险信息周报,新浪
1054,2021-01-08,中国交建(601800.SH)：拟认缴出资15亿元参与白洋淀环保基金投资,格隆汇
1055,2021-01-08,32亿元！中交联合体中标大连地铁4号线一期工程,中国交建
1056,2021-01-08,晨会聚焦210114重点关注社会服务行业、商贸零售、建筑行业、商业地产专题报告、高温合金专题,国信研究
1057,2021-01-07,中交集团发布年度光荣榜,中国交建
1058,2021-01-07,【市场观潮】中国中车：“神车”的逆袭是电击式反弹还是见底回升？,财华社
1059,2021-01-07,碧水源(300070)：定增已获深交所受理 期待中交入股后效应释放,广发证券
1060,2021-01-06,道达投资手记：指数轮动 等待下次上车？,每日经济新闻
1061,2021-01-06,苏博特2020年净利润预计最高增三成 高性能减水剂产能陆续释放,证券日报网
1062,2021-01-06,等待下一次上车的机会？——道达投资手记,每日经济新闻
1063,2021-01-06,【中金固收·信用】中国短期融资券及中期票据信用分析周报 20210106,中金固定收益研究
1064,2021-01-06,A股震荡上行沪指五连阳站上3550点两市成交额连续三日破万亿,财华社
1065,2021-01-06,港股收盘(1.6)|恒指收涨0.15% 行业经营权限或放宽 物管股集体暴力拉升,智通财经
1066,2021-01-06,收评：恒指涨0.15%日线九连阳 科技、物业股爆发中芯国际涨12.94%,金融界
1067,2021-01-06,涨停板复盘：沪指五连阳 两市成交额连续三日破万亿,新浪
1068,2021-01-06,地产股收盘丨沪指收涨0.63% 豫园股份、招商积余涨停,中国网
1069,2021-01-06,收评：三大指数下探回升沪指涨0.6% 电力板块盘尾拉升,新浪
1070,2021-01-06,收评：A股震荡收涨沪指涨0.63%军工板块抢眼两市成交额连续三个交易日破万亿,金融界
1071,2021-01-06,A股收盘综述：上证指数涨0.63%录得五连阳，贵州茅台股价站上2100,Wind
1072,2021-01-06,铁树开花！基建大蓝筹逆势爆发，中国中车罕见涨停,环球老虎财经
1073,2021-01-06,【行情】港股高铁概念板块表现强势，中国中车持续拉涨，现涨15.7%，此前获摩根士丹利看好,金十数据
1074,2021-01-06,13年了！沪深300早盘一度重回08年牛市高点！北向资金同步再现净流入,上证报
1075,2021-01-06,13年了！沪深300早盘一度重回2008年牛市高点！,上证报
1076,2021-01-06,A股市场白酒突然杀跌，三大板块却火了,中国基金报
1077,2021-01-06,A股风云突变！白酒突然狂杀跌，三大板块却火了！河北突增20+43，有人4天3场婚宴！石家庄一区全域高风险！客运站停运，高速管控！,中国基金报
1078,2021-01-06,解盘：成交量放大，军工、基建、乳业、高端装备领涨,Wind
1079,2021-01-06,港股异动 | 中国中车(01766)涨超14%领涨高铁基建股 国铁集团今年将投产新线3700公里左右,智通财经
1080,2021-01-06,"""中字头""公司普遍活跃，中国中车、中国铁建、中国交建、中石化、中石油普涨",Wind
1081,2021-01-05,中国电建(601669.SH)拟参与设立河北雄安白洋淀生态环保基金,格隆汇
1082,2021-01-05,中国交建：取消发行“21中交建SCP001”,Wind
1083,2021-01-05,最新中国市值500强重磅出炉 腾讯位居中国市值500强第一 阿里第二,站长之家
1084,2021-01-05,【行情】高铁板块异动，中国中车涨5%，晋亿实业、晋西车轴、中国中铁、中国交建等跟涨,金十数据
1085,2021-01-04,2020中国品牌节年度人物峰会暨颁奖盛典圆满落幕,中新经纬
1086,2021-01-04,建筑行业第201期周报：DDM模型回顾与展望2021年建筑板块股价轨迹,新浪
1087,2021-01-04,建筑装饰行业报告：对涨幅多年滞后的建筑板块可多一些逆向思维,新浪
1088,2021-01-04,苏博特(603916.SH)：2020年度净利预增20%-30%,格隆汇
1089,2021-01-04,每日理财观察：中国新冠病毒疫苗获批上市并为全民免费提供,Wind
1090,2021-01-04,港股盘前必读：戴志坚接棒李小加任职港交所行政总裁,Wind
1091,2021-01-03,【华创建筑建材】建筑行业周观点：看好钢结构行业长期成长性，十年复合增速或将达10%,华创建筑建材研究
1092,2021-01-01,云南华丽高速丽江至永胜段通车！世界山区峡谷最大跨径悬索桥投入使用,中国交建
1093,2020-12-31,三年鏖战！蜿蜒山壑变康庄大道,中国交建
1094,2020-12-31,MSCI宣布从各ACWI指数中删除中国公司证券最终名单,Wind
1095,2020-12-30,【中金固收·信用】中国短期融资券及中期票据信用分析周报 20201230,中金固定收益研究
1096,2020-12-30,中国交建(601800.SH)：董事会同意中国路桥投资智利马乌莱大区医院特许经营项目,格隆汇
1097,2020-12-30,中国交建(601800.SH)：一航局与关联方机场建设集团按其持有民航建工股权比例进行增资,格隆汇
1098,2020-12-30,直达大小梅沙！深圳8号线二期首座车站封顶,南都报
1099,2020-12-29,【中金固收·资产证券化】ABS一周市场回顾 20201229,中金固定收益研究
1100,2020-12-29,A股公司研发费用增长势头明显，提升科技创新能力,Wind
1101,2020-12-29,A股公司研发费用增长势头明显 提升科技创新能力,证券日报
1102,2020-12-28,建筑装饰行业周报：2021年建筑板块或将精彩纷呈,新浪
1103,2020-12-28,融资客青睐14股，阳光城买入占比高达51.75%,Wind
1104,2020-12-27,【华创建筑建材】建筑行业周观点：持续看好装配式产业链,华创建筑建材研究
1105,2020-12-27,环保疏浚是近30年来发展起来的新兴产业 未来疏浚工程行业市场前景预测,中研网
1106,2020-12-26,A股绿色周报｜38家上市公司登环境风险榜 多伦科技子公司伪造汽车尾气检验结果 欺诈造假,每日经济新闻
1107,2020-12-25,A股千亿市值榜出炉！茅台稳居第一，宁德时代升势强劲，石化“双雄”跌出前十,中证报
1108,2020-12-25,闽西南发展“大动脉”！福建泉厦漳城市联盟路泉州段通车,中国交建
1109,2020-12-25,泉厦漳城市联盟路泉州段正式通车－国务院国有资产监督管理委员会,国资委
1110,2020-12-24,地产股收盘丨沪指收跌0.57% 京能置业收涨5.6% 格力地产收跌5.63%,中国网
1111,2020-12-23,建筑装饰建筑2021年度策略：多细分领域基本面向好 建筑板块有望多点开花,新浪
1112,2020-12-23,天风证券：看好明年整个建筑板块的投资机 行业整体有望出现估值提升（附股）,证券时报网
1113,2020-12-22,海外指数机构入关山雨欲来国内券商奋力追赶弄潮,经济观察网
1114,2020-12-21,【华创建筑建材】建筑行业周观点：十四五三大区域城际铁路投资有望超万亿,华创建筑建材研究
1115,2020-12-20,2021年钢材市场的挑战与机会,新浪
1116,2020-12-19,2020中国对外承包合作信用名单公布 重庆外建集团连续13年获评AAA评级,产业经济新闻网
1117,2020-12-18,建筑行业12月投资策略：集中度提升 优选龙头,新浪
1118,2020-12-18,绿城中国三年三任行政总裁：张亚东“放权”，“老人”郭佳峰走马上任,搜狐
1119,2020-12-18,中泰证券：建筑行业已经具备了较好价值投资的机会（附股）,证券时报网
1120,2020-12-18,中国交建子公司签署泰国两港口项目,一带一路高参
1121,2020-12-18,中巴经济走廊喀喇昆仑公路二期工程(赫韦利扬至塔科特段)正式移交巴基斯坦国家公路局,中国经济网
1122,2020-12-17,中交集团与中国国际工程咨询有限公司签署合作协议,中国交建
1123,2020-12-17,【中金固收·信用】中国公司债及企业债信用分析周报,中金固定收益研究
1124,2020-12-17,国家铁路局局长刘振芳：三方面着手深入推进铁路科技创新,Wind
1125,2020-12-17,每日理财观察：新版市场准入负面清单发布，四年缩减62%,Wind
1126,2020-12-17,定了！国内新冠疫苗价格首次公布；震惊！银监局前官员受审，创纪录受贿2.29亿元；10只中国公司股票被MSCI移除 其他违规处罚,中国财富网
1127,2020-12-16,金融街下午茶2020年12月16日星期三,Wind
1128,2020-12-16,交通部发文试点研发桥岛隧集群工程船舶装备,国际船舶
1129,2020-12-16,MSCI明晟：将从全球可投资市场指数中删除10只中国公司股票,Wind
1130,2020-12-16,MSCI指数将移除10只中国公司股票,金十数据
1131,2020-12-15,中交集团主要领导会见怒江州委书记纳云德,中国交建
1132,2020-12-15,5G赋能、智慧引领，2021第5届西安智慧交通展定于4月9－11日在西安举办,中国贸易新闻网
1133,2020-12-15,中芯国际「将相翻脸」爆内讧：蒋爸二度回归，梁孟松怒辞CEO！,新智元
1134,2020-12-15,今年在建地铁累计里程228公里 地铁在建总里程接近已建成运营线路总和 国家批复中心城区轨道交通建设线路全部开工,天津政务网
1135,2020-12-15,财融汇·日间资讯,财通证券融资融券部
1136,2020-12-15,2020中国混凝土展盛大开幕,中国商品混凝土网
1137,2020-12-15,A股早报2020年12月15日星期二,Wind
1138,2020-12-15,港股盘前必读：蓝月亮全球发售所得款净额约95.8亿港元,Wind
1139,2020-12-15,中金建筑行业2021年展望：制造业投资复苏，“三化”变革深化,Wind
1140,2020-12-15,中金建筑行业2021年展望：制造业投资复苏，“三化”变革深化,中金点睛
1141,2020-12-15,龙头企业交通强国试点方案密集获批,Wind
1142,2020-12-14,拦路虎来了？“移除中企”助推年末“黄金坑”成形,红周刊
1143,2020-12-14,中交集团主要领导拜会深圳地铁集团董事长辛杰,中国交建
1144,2020-12-14,中交集团主要领导拜访招商局集团并调研公司广州片区,中国交建
1145,2020-12-14,【*中交集团可续期小公募（第二期）】不超30亿/2+N年（3.5-4.5%）、3+N年（3.7-4.7%）/上交所/今日簿记,中信建投固定收益部
1146,2020-12-14,建筑装饰行业周报：看好装配式与工业工程龙头,新浪
1147,2020-12-14,神州高铁(000008.SZ)已正式成为天津地铁2号线项目公司股东并参与运营,格隆汇
