,2021-12-31,山西汾酒现1笔大宗交易 共成交884.25万元,新浪
0,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
1,2021-12-31,山西汾酒今日大宗交易成交3万股，成交价294.75元折价6.66%,Wind
2,2021-12-31,一图看全丨2021年白酒股哪些涨？哪些跌？,新京报
3,2021-12-31,白酒“繁荣”下经销商变革：利润因酒企频繁提价收窄，圈层营销争夺品鉴费,搜狐
4,2021-12-31,食品饮料行业专题研究：长沙白酒草根调研及经销商大会反馈 行稳致远 静待春节,新浪
5,2021-12-31,酱酒逐渐“内卷”，浓香、清香发起“保卫战”,新京报
6,2021-12-31,食品饮料行业2022年投资策略：白酒景气周期延续，食品至暗时刻已过,国信研究
7,2021-12-31,A股融资融券日报：两融余额增加32.82亿元（12月30日）,Wind
8,2021-12-31,开源金股，1月推荐,开源证券研究所
9,2021-12-30,岁末年初，机构重新注意白酒股，重要大会助力白酒获得“聚光灯”， 8股上涨空间逾20%（附股）,微信
10,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
11,2021-12-30,白酒行业春节市场刚需性渐强，高档白酒迎来涨价潮,环球老虎财经
12,2021-12-30,清香型白酒巨头山西汾酒换帅！“汾酒速度”能否延续？ 董监高成员变化,投资时报
13,2021-12-30,机构资金默契消失，这是上证指数大跌的重大推手,搜狐
14,2021-12-30,李秋喜留给汾酒“三座大山”,36氪
15,2021-12-30,开源晨会1230丨《“十四五”医疗装备产业发展规划》出台，医疗器械板块全面受益；海亮股份、山西汾酒,开源证券研究所
16,2021-12-30,品牌力提升非一日之功，白酒年底提价多为促销,Wind
17,2021-12-29,李秋喜功成身退，山西汾酒下半场该怎么走？,深水财经社
18,2021-12-29,食品饮料行业2022年度策略：守得云开见月明 把握反转和升级机会,新浪
19,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
20,2021-12-29,白酒还有“跨年行情”吗？20位白酒基金经理 谁更强？,中投网
21,2021-12-29,43股今日获机构买入评级 12股上涨空间超20%,证券时报网
